ID,Tâche,Description,Assigné à,Priorité,Statut,Date début,Date fin,Heures estimées
1,Authentification utilisateur,Implémenter système de login/register avec validation,Windy,Haute,En cours,11/05/2026,15/05/2026,16
2,Dashboard principal,Créer interface de visualisation des régimes et objectifs,Natanaela,Haute,À faire,11/05/2026,18/05/2026,12
3,Gestion des régimes alimentaires,CRUD complet pour les régimes (créer/modifier/supprimer),Windy,Haute,À faire,16/05/2026,22/05/2026,20
4,Modèle ActiviteSportive,Développer model complet avec validations,Natanaela,Moyenne,À faire,11/05/2026,13/05/2026,8
5,Interface profil utilisateur,Créer pages de modification profil et préférences,Natanaela,Moyenne,À faire,19/05/2026,23/05/2026,10
6,Système de catégorisation,Implémenter codes et catégories de régimes,Windy,Moyenne,À faire,13/05/2026,16/05/2026,12
7,Migrations base de données,Créer migrations pour toutes les tables,Windy,Haute,En cours,11/05/2026,12/05/2026,8
8,Seed données de test,Générer données factices pour tester,Natanaela,Moyenne,À faire,13/05/2026,15/05/2026,6
9,Validation formulaires,Implémenter validations côté serveur et client,Windy,Moyenne,À faire,16/05/2026,18/05/2026,10
10,Interface administrateur,Créer panneau admin pour gérer utilisateurs/régimes,Natanaela,Moyenne,À faire,20/05/2026,28/05/2026,16
11,Sécurité CORS/CSRF,Configurer sécurité requêtes API,Windy,Haute,À faire,12/05/2026,13/05/2026,4
12,Filtres et recherche,Implémenter recherche et filtrage de régimes,Natanaela,Basse,À faire,24/05/2026,27/05/2026,8
13,Pagination et tri,Ajouter pagination et tri des données,Natanaela,Basse,À faire,28/05/2026,30/05/2026,6
14,Documentation API,Documenter tous les endpoints disponibles,Windy,Moyenne,À faire,25/05/2026,27/05/2026,8
15,Tests unitaires UserModel,Écrire tests pour modèle utilisateur,Windy,Moyenne,À faire,18/05/2026,20/05/2026,10
16,Tests unitaires RegimeModel,Écrire tests pour modèle régime,Natanaela,Moyenne,À faire,23/05/2026,25/05/2026,10
17,Gestion des erreurs,Implémenter gestion d'erreurs globale,Windy,Haute,À faire,20/05/2026,21/05/2026,6
18,Logging et monitoring,Configurer système de logs et monitoring,Natanaela,Moyenne,À faire,26/05/2026,28/05/2026,8
19,Optimisation base de données,Indexer tables et optimiser requêtes,Windy,Basse,À faire,28/05/2026,31/05/2026,12
20,Déploiement Docker,Configurer Dockerfile et docker-compose,Natanaela,Haute,À faire,29/05/2026,31/05/2026,8
21,Génération rapports,Créer exports PDF/Excel régimes,Windy,Basse,À faire,01/06/2026,05/06/2026,10
22,Intégration notifications,Système d'alertes et rappels,Natanaela,Basse,À faire,02/06/2026,06/06/2026,8
23,Tests d'intégration,Tests end-to-end des workflows,Windy,Moyenne,À faire,04/06/2026,08/06/2026,16
24,Révision code et refactoring,Code review et amélioration qualité,Natanaela,Moyenne,À faire,08/06/2026,10/06/2026,8
25,Documentation utilisateur,Créer manuel utilisateur et FAQ,Windy,Basse,À faire,09/06/2026,12/06/2026,8
